Description,Make ,Processor/Core,Preferred Model,Number Requested, Date Needed,Intended Use,Description of intended use,Shared or Dedicated,Department,Location
"RAM: Min 32GB, 64GB preferred. GPU: suitable for high-resoultion rendering of complex multi-component CAD modelling, such as Radeon or Nvidia w/ min 8GB dedicated RAM Monitors: Dual UHD widescreen 24"" min., 26-27"" curved preferred. Peripherals: CAD-specific mouse and/or3D flyaround (3DConnexion for example) highly preferred.",Dell,Min. I9 Xeon (6-8 cores) or Ryzen 7/9 processor (12-16 cores). AMD with minimum 16 cores is probably best.,Workstation,13,ASAP,"Research, teaching, training, FSAE team design, grad student use.",Price 102,Shared function in future CAD/CAM training lab. The lab will need probably 12-14 of these for the teaching lab. ,AET,Price
"RAM: Min 32GB, 64GB preferred. GPU: suitable for high-resoultion rendering of complex multi-component CAD modelling, such as Radeon or Nvidia w/ min 8GB dedicated RAM Monitors: Dual UHD widescreen 24"" min., 26-27"" curved preferred. Peripherals: CAD-specific mouse and/or3D flyaround (3DConnexion for example) highly preferred.",Dell,Min. I9 Xeon (6-8 cores) or Ryzen 7/9 processor (12-16 cores). AMD with minimum 16 cores is probably best.,Workstation,7,ASAP,"Research, class preparation, machine shop operations. Can also serve as general office machine in instances of faculty/staff/TA office placement.",Price 102,"Need 6-8 of these, one each for lab manager, assistant lab manager, lead RA/Tas, lead FSAE officers.",AET,Price
"GPU: Two Invidia Tesla K80 Accelerators w 24gb on=board RAM. Monitors: Three or four 4K monitors, curved. Memory: 256gb minimum, 512 preferred. Storage: 4 or more SSD with min 4TB each. External hot-swap port preferred.", ,Two 10-core Intel(R) Xeon(R) E5-2660 v3 processors @ 2.60GHz,Server,1,2024,"Research, design support for FSAE and other research-related computational applications. ",Price 102,One needed,AET,Price
"GPUs: Two NVIDIA® RTX™ A6000 (48 GB ECC GDDR6; 4 x DisplayPort 1.4, PCIe x16) Graphics with Blower Fan; or two Radeon Pro W6800X Duo with 64GB of GDDR6 memory each. The GPUs should be compatible with the CPUs. Memory: at least 768GB DDR4 (the memory volume and type needs to be compatible with the processors) Storage: at least 4TB SSD Monitors: three 4k or 2k monitors with eye-care technique, low blue light, non-flickering, above 100%sRGB OS: Windows preferred
",Not specified,"Two Intel® Xeon® Gold 6258R 2nd Processor (2.7 GHz, up to 4.0 GHz W/Boost, 38.5M MB cache, 2933MHz, 28 core, 205W); or other processors with better performance",Workstation,3,2023,"Research-High computational demand FEA, etc.",Dr. Wang's future research lab. ,"Minimum of 3 units, possibly more depending on graduate student load.",AET,Price
"GPUs: 8x NVIDIA RTX A6000, NVLinked, 48 GB VRAM per GPU Memory: at least 1536GB Storage: 15TB SSD or more Monitors: at least three 4K monitors

",Not specified,"CPUs: 2x Intel Xeon Gold 5220R, 24 cores, 2.20 GHz",Server,1,2023,"Research-High computational demand FEA, etc.",Dr. Wang's future research lab. ,"A single unit, location flexible.",AET,Price
"Entry-Level PC for general lab applications. Integrated GPU acceptable. Monitor: Single 24-27"" UHD. Memory: 8-16GB. Storage: 512mb-1TB, SSD preferred.",Dell,"Intel i5 or i7, Ryzen 5 or 7.",All in ones,9,2023,"Teaching, training in various labs including robotics, additive manufacturing, metrology, materials",Price 102,"(1) for Instron, (1) for impact tester, (1) for current 3D printer, (6) for current robotics stations. This is a current total of (9), but we will need more of these as the PLC lab is restarted, as the additive manufacturing lab is expanded, etc. I would estimate 15-20 is more realistic. Possibly more.",AET,Price
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,Smith 3018 ,Classroom Dedicated CM,BLTE,Smith
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,Smith 3009,Shared ,BLTE,Smith
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,Price 112 J ,Dedicated - Geomatics,BLTE,Price
This setup would be acceptable for All of our Professors Especially for research and Geomatics and CM (Autocad BIM and ARCGIS),Dell,Xeon processor or higher Mhz I7 / I9 processors,Desktop,1,not specified,Research/Teaching For Faculty,not specified,Research and Classroom,BLTE,not specified
